Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
78-SIHG039N60EF-GE3,SIHG039N60EF-GE3,Vishay / Siliconix,https://www.vishay.com/doc?92209,341  In Stock,"=""7,52 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Siliconix/SIHG039N60EF-GE3?qs=UkDUCjYnTB0xoGON1zEyVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG039N60EF-GE3&utm_content=Vishay-%2F-Siliconix,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""61 A""",40 mOhms,"- 30 V, + 30 V",3 V,84 nC,- 55 C,+ 150 C,357 W,Enhancement,,,Tube
511-STW57N65M5,STW57N65M5,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw57n65m5.pdf,554  In Stock,"=""7,56 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW57N65M5?qs=X98pPdo4Mruiofvd9cYQHg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW57N65M5&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""42 A""",63 mOhms,"- 25 V, + 25 V",3 V,98 nC,- 55 C,+ 150 C,250 W,Enhancement,,MDmesh,Tube
511-STWA45N65M5,STWA45N65M5,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw45n65m5.pdf,615  In Stock,"=""7,58 €""",RoHS Compliant By Exemption,End of Life,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA45N65M5?qs=Rlwi1sSxVL4rjv%2FVtz0HyQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA45N65M5&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""35 A""",67 mOhms,"- 25 V, + 25 V",4 V,82 nC,- 55 C,+ 150 C,210 W,Enhancement,,MDmesh,Tube
78-SIHG47N60AEF-GE3,SIHG47N60AEF-GE3,Vishay / Siliconix,https://www.vishay.com/doc?92033,366  In Stock,"=""7,58 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Siliconix/SIHG47N60AEF-GE3?qs=F5EMLAvA7ICtVOD8pUP5Bw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG47N60AEF-GE3&utm_content=Vishay-%2F-Siliconix,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""40 A""",70 mOhms,"- 30 V, + 30 V",2 V,189 nC,- 55 C,+ 150 C,313 W,Enhancement,,,
757-TK068N65Z5S1F,"TK068N65Z5,S1F",Toshiba,https://www.mouser.fr/datasheet/2/408/TK068N65Z5_datasheet_en_20240123-3498581.pdf,205  In Stock,"=""7,72 €""",RoHS Compliant,New Product,https://www.mouser.fr/ProductDetail/Toshiba/TK068N65Z5S1F?qs=iLKYxzqNS751tE3VttEFTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK068N65Z5%2CS1F&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""37 A""",68 mOhms,"- 30 V, + 30 V",4.5 V,68 nC,- 55 C,+ 150 C,270 W,Enhancement,,,Tube
726-IPW60R040CFD7XKS,IPW60R040CFD7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R040CFD7_DS_v02_01_EN-1732072.pdf,292  In Stock,"=""7,74 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R040CFD7XKSA1?qs=W0yvOO0ixfHv4HvF9dVKog%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R040CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""50 A""",40 mOhms,"- 20 V, + 20 V",3.5 V,109 nC,- 55 C,+ 150 C,227 W,Enhancement,,,Tube
511-STW48N60M6-4,STW48N60M6-4,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw48n60m6-4.pdf,58  In Stock,"=""7,78 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW48N60M6-4?qs=vLWxofP3U2yL01d%2FXXcYVw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW48N60M6-4&utm_content=STMicroelectronics,Si,Through Hole,TO-247-4,N-Channel,1 Channel,600 V,"=""39 A""",69 mOhms,"- 25 V, + 25 V",3.25 V,57 nC,- 55 C,+ 150 C,250 W,Enhancement,,MDmesh,Tube
512-FCH072N60,FCH072N60,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH072N60,372  In Stock,"=""7,86 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH072N60?qs=zwvsCB%2Fxu0elByIi0xiw2g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH072N60&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""52 A""",72 mOhms,"- 20 V, + 20 V",3.5 V,95 nC,- 55 C,+ 150 C,481 W,Enhancement,,SuperFET II,Tube
757-TK065N65ZS1F,"TK065N65Z,S1F",Toshiba,https://www.mouser.fr/datasheet/2/408/TK065N65Z_datasheet_en_20181128-2509656.pdf,56  In Stock,"=""8,00 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Toshiba/TK065N65ZS1F?qs=xZ%2FP%252Ba9zWqZoMKwtlgMijg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK065N65Z%2CS1F&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""30 A""",65 mOhms,"- 30 V, + 30 V",4 V,62 nC,- 55 C,+ 150 C,270 W,Enhancement,,DTMOSVI,"Reel, Cut Tape"
511-STW42N65M5,STW42N65M5,STMicroelectronics,https://www.st.com/resource/en/datasheet/stb42n65m5.pdf,910  In Stock,"=""8,05 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW42N65M5?qs=dgCJ4P5xKlZK0b60JNow5A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW42N65M5&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""33 A""",70 mOhms,"- 25 V, + 25 V",3 V,98 nC,- 55 C,+ 150 C,190 W,Enhancement,,MDmesh,Tube
511-STWA48N60M6,STWA48N60M6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa48n60m6.pdf,16  In Stock,"=""8,06 €""",RoHS Compliant,NRND,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA48N60M6?qs=l7cgNqFNU1j7K7Hrz1RDjQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA48N60M6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""39 A""",69 mOhms,"- 25 V, + 25 V",3.25 V,57 nC,- 55 C,+ 150 C,250 W,Enhancement,,MDmesh,Tube
863-NTHL065N65S3HF,NTHL065N65S3HF,onsemi,https://www.onsemi.com/PowerSolutions/product.do?id=NTHL065N65S3HF,420  In Stock,"=""8,14 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi/NTHL065N65S3HF?qs=zW32dvEIR3tb1BBjlTyb5A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NTHL065N65S3HF&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""46 A""",65 mOhms,"- 30 V, + 30 V",5 V,98 nC,- 55 C,+ 150 C,337 W,Enhancement,,,Tube
757-TK39N60XS1F,"TK39N60X,S1F",Toshiba,https://www.mouser.fr/datasheet/2/408/TK39N60X_datasheet_en_20140228-1915994.pdf,11  In Stock,"=""8,15 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Toshiba/TK39N60XS1F?qs=2kOmHSv6VfQK4hRA1livww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK39N60X%2CS1F&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38.8 A""",55 mOhms,"- 30 V, + 30 V",3.5 V,85 nC,- 55 C,+ 150 C,270 W,Enhancement,,DTMOSIV-H,Tube
726-IPW60R075CP,IPW60R075CP,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R075CP_DS_v02_03_en-1732053.pdf,149  In Stock,"=""8,22 €""",RoHS Compliant,NRND,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R075CP?qs=mzcOS1kGbgfbS7DEnc7JYg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R075CP&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""39 A""",68 mOhms,"- 20 V, + 20 V",2.5 V,116 nC,- 55 C,+ 150 C,313 W,Enhancement,,CoolMOS,Tube
512-FCH041N65EFL4,FCH041N65EFL4,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH041N65EFL4,419  In Stock,"=""8,23 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH041N65EFL4?qs=GcQsFBwc5eVd8V6Y4%252B%2F6OQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH041N65EFL4&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-4,N-Channel,1 Channel,650 V,"=""76 A""",41 mOhms,"- 20 V, + 20 V",3 V,229 nC,- 55 C,+ 150 C,595 W,Enhancement,,SuperFET II  UniFET  FRFET,Tube
