time	V(m)*Id(M1)
Step Information: Id=2  (Step: 1/7)
4.457098574244919e-09	1.158212e+00
4.525457949244919e-09	1.159118e+00
4.593817324244919e-09	1.160024e+00
4.662176699244920e-09	1.160928e+00
4.730536074244920e-09	1.161832e+00
4.798895449244920e-09	1.162735e+00
4.867254824244920e-09	1.163637e+00
4.935614199244920e-09	1.164538e+00
5.003973574244921e-09	1.165438e+00
5.072332949244921e-09	1.166337e+00
5.140692324244921e-09	1.167236e+00
5.209051699244921e-09	1.168134e+00
5.277411074244921e-09	1.169031e+00
5.345770449244921e-09	1.169927e+00
5.414129824244922e-09	1.170822e+00
5.482489199244922e-09	1.171717e+00
5.550848574244922e-09	1.172611e+00
5.619207949244922e-09	1.173504e+00
5.687567324244922e-09	1.174396e+00
5.755926699244922e-09	1.175287e+00
5.824286074244923e-09	1.176178e+00
5.892645449244923e-09	1.177069e+00
5.961004824244923e-09	1.177958e+00
6.029364199244923e-09	1.178847e+00
6.097723574244923e-09	1.179735e+00
6.166082949244923e-09	1.180622e+00
6.234442324244924e-09	1.181509e+00
6.302801699244924e-09	1.182395e+00
6.371161074244924e-09	1.183280e+00
6.439520449244924e-09	1.184165e+00
6.507879824244924e-09	1.185049e+00
6.576239199244924e-09	1.185933e+00
6.644598574244925e-09	1.186816e+00
6.712957949244925e-09	1.187698e+00
6.781317324244925e-09	1.188580e+00
6.849676699244925e-09	1.189461e+00
6.918036074244925e-09	1.190342e+00
6.986395449244926e-09	1.191222e+00
7.054754824244926e-09	1.192101e+00
7.123114199244926e-09	1.192981e+00
7.191473574244926e-09	1.193859e+00
7.259832949244926e-09	1.194737e+00
7.328192324244926e-09	1.195615e+00
7.396551699244927e-09	1.196492e+00
7.464911074244927e-09	1.197369e+00
7.533270449244926e-09	1.198245e+00
7.601629824244925e-09	1.199121e+00
7.669989199244925e-09	1.199996e+00
7.738348574244924e-09	1.200871e+00
7.806707949244923e-09	1.201745e+00
7.875067324244923e-09	1.202620e+00
7.943426699244922e-09	1.203493e+00
8.011786074244922e-09	1.204367e+00
8.080145449244921e-09	1.205240e+00
8.148504824244920e-09	1.206113e+00
8.216864199244920e-09	1.206985e+00
8.285223574244919e-09	1.207857e+00
8.353582949244918e-09	1.208729e+00
8.421942324244918e-09	1.209600e+00
8.490301699244917e-09	1.210472e+00
8.558661074244916e-09	1.211343e+00
8.627020449244916e-09	1.212214e+00
8.695379824244915e-09	1.213084e+00
8.763739199244914e-09	1.213955e+00
8.832098574244914e-09	1.214825e+00
8.900457949244913e-09	1.215695e+00
8.968817324244912e-09	1.216565e+00
9.037176699244912e-09	1.217434e+00
9.105536074244911e-09	1.218304e+00
9.173895449244910e-09	1.219173e+00
9.242254824244910e-09	1.220043e+00
9.310614199244909e-09	1.220912e+00
9.378973574244908e-09	1.221781e+00
9.447332949244908e-09	1.222650e+00
9.515692324244907e-09	1.223519e+00
9.584051699244906e-09	1.224389e+00
9.652411074244906e-09	1.225258e+00
9.720770449244905e-09	1.226127e+00
9.789129824244904e-09	1.226996e+00
9.857489199244904e-09	1.227865e+00
9.925848574244903e-09	1.228734e+00
