,t,v
699,1893928.0,389.0
700,1893959.0,387.0
701,1893994.0,389.0
702,1894025.0,389.0
703,1894056.0,392.0
704,1894087.0,393.0
705,1894118.0,393.0
706,1894153.0,391.0
707,1894184.0,395.0
708,1894215.0,394.0
709,1894246.0,394.0
710,1894277.0,395.0
711,1894308.0,396.0
712,1894339.0,396.0
713,1894370.0,398.0
714,1894401.0,396.0
715,1894432.0,399.0
716,1894463.0,400.0
717,1894494.0,398.0
718,1894525.0,399.0
719,1894556.0,398.0
720,1894587.0,398.0
721,1894618.0,400.0
722,1894649.0,400.0
723,1894680.0,400.0
724,1894711.0,400.0
725,1894742.0,402.0
726,1894773.0,401.0
727,1894803.0,401.0
728,1894834.0,400.0
729,1894866.0,400.0
730,1894897.0,400.0
731,1894927.0,401.0
732,1894959.0,400.0
733,1894994.0,400.0
734,1895025.0,403.0
735,1895056.0,401.0
736,1895087.0,402.0
737,1895117.0,403.0
738,1895152.0,403.0
739,1895183.0,409.0
740,1895214.0,405.0
741,1895245.0,405.0
742,1895276.0,402.0
743,1895307.0,405.0
744,1895338.0,406.0
745,1895369.0,408.0
746,1895400.0,407.0
747,1895431.0,407.0
748,1895462.0,411.0
749,1895493.0,412.0
750,1895524.0,412.0
751,1895555.0,411.0
752,1895586.0,410.0
753,1895617.0,410.0
754,1895648.0,411.0
755,1895679.0,410.0
756,1895710.0,412.0
757,1895741.0,411.0
758,1895772.0,415.0
759,1895803.0,415.0
760,1895834.0,415.0
761,1895865.0,414.0
762,1895896.0,415.0
763,1895927.0,415.0
764,1895957.0,415.0
765,1895993.0,415.0
766,1896024.0,417.0
767,1896055.0,415.0
768,1896086.0,417.0
769,1896117.0,416.0
770,1896152.0,418.0
771,1896183.0,422.0
772,1896214.0,419.0
773,1896245.0,417.0
774,1896276.0,418.0
775,1896307.0,419.0
776,1896338.0,419.0
777,1896369.0,418.0
778,1896399.0,418.0
779,1896430.0,419.0
780,1896461.0,420.0
781,1896492.0,422.0
782,1896523.0,425.0
783,1896555.0,421.0
784,1896586.0,425.0
785,1896617.0,423.0
786,1896648.0,423.0
787,1896678.0,423.0
788,1896709.0,425.0
789,1896740.0,423.0
790,1896771.0,426.0
791,1896802.0,430.0
792,1896833.0,427.0
793,1896864.0,427.0
794,1896895.0,427.0
795,1896926.0,427.0
796,1896957.0,427.0
797,1896992.0,427.0
798,1897023.0,432.0
799,1897054.0,430.0
800,1897085.0,431.0
801,1897116.0,429.0
802,1897151.0,429.0
803,1897182.0,432.0
804,1897213.0,432.0
805,1897244.0,431.0
806,1897275.0,430.0
807,1897306.0,432.0
808,1897337.0,432.0
809,1897368.0,432.0
810,1897399.0,432.0
811,1897430.0,432.0
812,1897461.0,432.0
813,1897492.0,434.0
814,1897523.0,435.0
815,1897554.0,433.0
816,1897585.0,432.0
817,1897616.0,433.0
818,1897647.0,434.0
819,1897678.0,433.0
820,1897709.0,433.0
821,1897740.0,434.0
822,1897771.0,434.0
823,1897802.0,437.0
824,1897833.0,438.0
825,1897864.0,437.0
826,1897895.0,434.0
827,1897926.0,436.0
828,1897957.0,437.0
829,1897992.0,437.0
830,1898023.0,441.0
831,1898054.0,439.0
832,1898085.0,439.0
833,1898116.0,438.0
834,1898152.0,439.0
835,1898183.0,443.0
836,1898214.0,443.0
837,1898245.0,441.0
838,1898276.0,442.0
839,1898307.0,441.0
840,1898338.0,441.0
841,1898369.0,442.0
842,1898400.0,442.0
843,1898431.0,443.0
844,1898462.0,444.0
845,1898493.0,445.0
846,1898524.0,445.0
847,1898555.0,445.0
848,1898586.0,445.0
849,1898617.0,446.0
850,1898648.0,448.0
851,1898679.0,446.0
852,1898710.0,445.0
853,1898741.0,446.0
854,1898772.0,448.0
855,1898804.0,448.0
856,1898834.0,448.0
857,1898865.0,448.0
858,1898897.0,448.0
859,1898927.0,448.0
860,1898958.0,448.0
861,1898994.0,448.0
862,1899025.0,448.0
863,1899056.0,448.0
864,1899087.0,449.0
865,1899118.0,450.0
866,1899152.0,448.0
867,1899184.0,454.0
868,1899215.0,450.0
869,1899246.0,453.0
870,1899277.0,450.0
871,1899308.0,452.0
872,1899339.0,451.0
873,1899370.0,451.0
874,1899401.0,452.0
875,1899432.0,454.0
876,1899463.0,457.0
877,1899494.0,455.0
878,1899525.0,454.0
879,1899556.0,454.0
880,1899587.0,454.0
881,1899618.0,456.0
882,1899649.0,454.0
883,1899680.0,455.0
884,1899711.0,457.0
885,1899741.0,459.0
886,1899772.0,461.0
887,1899804.0,460.0
888,1899834.0,458.0
889,1899866.0,458.0
890,1899896.0,459.0
891,1899927.0,457.0
892,1899958.0,458.0
893,1899993.0,460.0
894,1900024.0,462.0
895,1900055.0,461.0
896,1900086.0,461.0
897,1900117.0,461.0
898,1900152.0,463.0
899,1900184.0,464.0
900,1900214.0,464.0
901,1900246.0,462.0
902,1900277.0,461.0
903,1900308.0,463.0
904,1900338.0,463.0
905,1900370.0,464.0
906,1900401.0,464.0
907,1900432.0,463.0
908,1900463.0,464.0
909,1900494.0,466.0
910,1900525.0,464.0
911,1900555.0,464.0
912,1900586.0,464.0
913,1900617.0,465.0
914,1900648.0,465.0
915,1900679.0,464.0
916,1900710.0,464.0
917,1900741.0,465.0
918,1900772.0,468.0
919,1900803.0,467.0
920,1900834.0,465.0
921,1900865.0,465.0
922,1900896.0,466.0
923,1900927.0,465.0
924,1900958.0,466.0
925,1900993.0,464.0
926,1901024.0,469.0
927,1901056.0,467.0
928,1901087.0,470.0
929,1901118.0,468.0
930,1901152.0,469.0
931,1901183.0,474.0
932,1901214.0,471.0
933,1901246.0,469.0
934,1901277.0,472.0
935,1901308.0,470.0
936,1901339.0,469.0
937,1901370.0,471.0
938,1901401.0,470.0
939,1901432.0,473.0
940,1901463.0,477.0
941,1901494.0,474.0
942,1901525.0,472.0
943,1901556.0,475.0
944,1901588.0,474.0
945,1901618.0,473.0
946,1901649.0,474.0
947,1901680.0,476.0
948,1901711.0,476.0
949,1901743.0,478.0
950,1901774.0,477.0
951,1901805.0,475.0
952,1901836.0,477.0
953,1901867.0,476.0
954,1901898.0,477.0
955,1901928.0,477.0
956,1901959.0,477.0
957,1901994.0,479.0
958,1902025.0,479.0
959,1902056.0,479.0
960,1902087.0,478.0
961,1902118.0,479.0
962,1902153.0,480.0
