,t,v
443,1889569.0,309.0
444,1889605.0,309.0
445,1889642.0,310.0
446,1889678.0,310.0
447,1889715.0,310.0
448,1889751.0,310.0
449,1889788.0,311.0
450,1889824.0,310.0
451,1889860.0,313.0
452,1889897.0,314.0
453,1889933.0,311.0
454,1889970.0,313.0
455,1890008.0,312.0
456,1890044.0,314.0
457,1890081.0,315.0
458,1890117.0,316.0
459,1890157.0,314.0
460,1890194.0,315.0
461,1890230.0,314.0
462,1890266.0,316.0
463,1890303.0,314.0
464,1890339.0,315.0
465,1890376.0,316.0
466,1890413.0,315.0
467,1890449.0,316.0
468,1890485.0,316.0
469,1890522.0,316.0
470,1890558.0,316.0
471,1890595.0,316.0
472,1890631.0,316.0
473,1890668.0,316.0
474,1890704.0,316.0
475,1890740.0,316.0
476,1890777.0,319.0
477,1890813.0,316.0
478,1890850.0,317.0
479,1890886.0,319.0
480,1890923.0,316.0
481,1890959.0,317.0
482,1890996.0,319.0
483,1891033.0,316.0
484,1891069.0,318.0
485,1891106.0,319.0
486,1891143.0,321.0
487,1891184.0,318.0
488,1891220.0,319.0
489,1891257.0,322.0
490,1891293.0,317.0
491,1891329.0,321.0
492,1891366.0,322.0
493,1891402.0,319.0
494,1891438.0,320.0
495,1891475.0,320.0
496,1891511.0,320.0
497,1891548.0,320.0
498,1891584.0,322.0
499,1891621.0,320.0
500,1891657.0,321.0
501,1891694.0,321.0
502,1891730.0,321.0
503,1891767.0,325.0
504,1891803.0,320.0
505,1891840.0,322.0
506,1891877.0,326.0
507,1891913.0,322.0
508,1891950.0,324.0
509,1891986.0,326.0
510,1892023.0,322.0
511,1892059.0,323.0
512,1892096.0,326.0
513,1892132.0,325.0
514,1892173.0,325.0
515,1892209.0,324.0
516,1892245.0,325.0
517,1892282.0,325.0
518,1892318.0,325.0
519,1892355.0,325.0
520,1892391.0,326.0
521,1892427.0,326.0
522,1892464.0,327.0
523,1892500.0,327.0
524,1892536.0,327.0
525,1892573.0,325.0
526,1892610.0,327.0
527,1892646.0,328.0
528,1892683.0,328.0
529,1892719.0,328.0
530,1892755.0,333.0
531,1892792.0,327.0
532,1892828.0,327.0
533,1892865.0,327.0
534,1892901.0,328.0
535,1892938.0,327.0
536,1892974.0,328.0
537,1893015.0,330.0
538,1893051.0,328.0
539,1893088.0,328.0
540,1893124.0,329.0
541,1893164.0,328.0
542,1893201.0,328.0
543,1893237.0,328.0
544,1893274.0,330.0
545,1893310.0,330.0
546,1893347.0,333.0
547,1893383.0,329.0
548,1893420.0,330.0
549,1893456.0,331.0
550,1893492.0,329.0
551,1893529.0,330.0
552,1893565.0,330.0
553,1893602.0,330.0
554,1893638.0,331.0
555,1893675.0,330.0
556,1893711.0,330.0
557,1893748.0,331.0
558,1893784.0,330.0
559,1893821.0,331.0
560,1893857.0,332.0
561,1893894.0,332.0
562,1893930.0,331.0
563,1893967.0,335.0
564,1894004.0,332.0
565,1894041.0,333.0
566,1894077.0,332.0
567,1894114.0,332.0
568,1894154.0,333.0
569,1894190.0,331.0
570,1894227.0,336.0
571,1894263.0,333.0
572,1894299.0,333.0
573,1894336.0,336.0
574,1894372.0,333.0
575,1894409.0,334.0
576,1894445.0,335.0
577,1894481.0,335.0
578,1894518.0,336.0
579,1894555.0,333.0
580,1894591.0,333.0
581,1894627.0,336.0
582,1894664.0,336.0
583,1894700.0,336.0
584,1894737.0,338.0
585,1894773.0,336.0
586,1894810.0,336.0
587,1894847.0,339.0
588,1894883.0,336.0
589,1894919.0,336.0
590,1894956.0,339.0
591,1894992.0,336.0
592,1895029.0,336.0
593,1895065.0,337.0
594,1895101.0,337.0
595,1895138.0,338.0
596,1895179.0,336.0
597,1895215.0,338.0
598,1895251.0,338.0
599,1895288.0,338.0
