a0,a1,vout,a2,a3,a4,a5,a6,a7,Vin,tempS,TempP,ene
410.0,3543.0,109.06,1451.0,2522.0,2338.0,144.0,1400.0,23.0,0.16,64.8,8.75,1008.1
415.0,3543.0,109.06,1448.0,2519.0,2335.0,151.0,1426.0,24.0,0.48,63.66,8.77,1053.44
422.0,3543.0,109.06,1452.0,2524.0,2338.0,136.0,1446.0,18.0,-1.45,62.8,8.77,1088.08
395.0,3544.0,109.09,1449.0,2520.0,2337.0,132.0,1472.0,21.0,-0.48,61.94,8.72,1122.39
408.0,3543.0,109.06,1449.0,2519.0,2337.0,148.0,1495.0,22.0,-0.16,61.39,8.77,1144.56
411.0,3542.0,109.03,1449.0,2520.0,2338.0,143.0,1521.0,23.0,0.16,60.74,8.67,1170.47
414.0,3543.0,109.06,1450.0,2522.0,2339.0,159.0,1543.0,23.0,0.16,60.17,8.67,1193.38
420.0,3542.0,109.03,1449.0,2520.0,2338.0,143.0,1562.0,21.0,-0.48,59.52,8.79,1200.0
415.0,3544.0,109.09,1450.0,2522.0,2338.0,139.0,1581.0,21.0,-0.48,58.9,8.72,1200.0
410.0,3541.0,109.0,1448.0,2521.0,2339.0,148.0,1601.0,23.0,0.16,58.33,8.77,1200.0
408.0,3543.0,109.06,1449.0,2520.0,2336.0,145.0,1620.0,23.0,0.16,57.75,8.77,1200.0
410.0,3541.0,109.0,1449.0,2521.0,2338.0,149.0,1641.0,23.0,0.16,57.16,8.7,1200.0
414.0,3546.0,109.15,1448.0,2519.0,2337.0,152.0,1658.0,21.0,-0.48,56.56,8.72,1200.0
415.0,3543.0,109.06,1450.0,2521.0,2338.0,139.0,1676.0,23.0,0.16,56.05,8.72,1200.0
411.0,3541.0,109.0,1449.0,2519.0,2339.0,149.0,1693.0,20.0,-0.8,55.43,8.77,1200.0
416.0,3546.0,109.15,1452.0,2523.0,2338.0,145.0,1710.0,22.0,-0.16,54.88,8.79,1200.0
398.0,3545.0,109.12,1453.0,2523.0,2339.0,151.0,1730.0,25.0,0.8,54.27,8.72,1200.0
400.0,3542.0,109.03,1449.0,2521.0,2338.0,144.0,1743.0,21.0,-0.48,53.73,8.72,1200.0
408.0,3545.0,109.12,1449.0,2520.0,2338.0,143.0,1760.0,21.0,-0.48,53.22,8.72,1200.0
431.0,3543.0,109.06,1450.0,2521.0,2337.0,147.0,1777.0,24.0,0.48,52.69,8.72,1200.0
424.0,3543.0,109.06,1450.0,2521.0,2339.0,140.0,1794.0,22.0,-0.16,51.88,8.77,1200.0
397.0,3541.0,109.0,1449.0,2519.0,2337.0,138.0,1809.0,23.0,0.16,51.41,8.75,1200.0
399.0,3546.0,109.15,1452.0,2522.0,2340.0,146.0,1826.0,25.0,0.8,51.02,8.67,1200.0
408.0,3546.0,109.15,1454.0,2523.0,2339.0,158.0,1841.0,22.0,-0.16,50.24,8.65,1200.0
396.0,3541.0,109.0,1448.0,2520.0,2338.0,145.0,1853.0,24.0,0.48,49.95,8.77,1200.0
423.0,3543.0,109.06,1448.0,2520.0,2339.0,145.0,1867.0,23.0,0.16,49.67,8.75,1200.0
423.0,3543.0,109.06,1449.0,2521.0,2338.0,143.0,1882.0,22.0,-0.16,49.21,8.77,1200.0
415.0,3543.0,109.06,1450.0,2520.0,2340.0,144.0,1893.0,22.0,-0.16,49.04,8.7,1200.0
406.0,3540.0,108.97,1449.0,2520.0,2337.0,146.0,1905.0,21.0,-0.48,48.67,8.7,1200.0
418.0,3543.0,109.06,1448.0,2519.0,2339.0,144.0,1922.0,23.0,0.16,48.28,8.72,1200.0
423.0,3544.0,109.09,1449.0,2520.0,2338.0,141.0,1935.0,23.0,0.16,48.02,8.79,1200.0
413.0,3545.0,109.12,1453.0,2522.0,2339.0,137.0,1945.0,22.0,-0.16,47.69,8.67,1200.0
420.0,3544.0,109.09,1449.0,2520.0,2339.0,147.0,1960.0,24.0,0.48,47.36,8.75,1200.0
412.0,3541.0,109.0,1449.0,2520.0,2339.0,148.0,1975.0,23.0,0.16,47.02,8.75,1200.0
407.0,3542.0,109.03,1449.0,2521.0,2339.0,152.0,1983.0,25.0,0.8,46.73,8.79,1200.0
422.0,3544.0,109.09,1451.0,2519.0,2337.0,146.0,1998.0,26.0,1.12,46.38,8.75,1200.0
421.0,3545.0,109.12,1449.0,2520.0,2338.0,138.0,2007.0,21.0,-0.48,46.09,8.75,1200.0
420.0,3543.0,109.06,1448.0,2520.0,2339.0,147.0,2018.0,23.0,0.16,45.79,8.75,1200.0
405.0,3541.0,109.0,1446.0,2519.0,2337.0,138.0,2029.0,24.0,0.48,45.48,8.84,1200.0
416.0,3542.0,109.03,1446.0,2519.0,2339.0,146.0,2039.0,23.0,0.16,45.21,8.72,1200.0
415.0,3542.0,109.03,1448.0,2522.0,2341.0,155.0,2050.0,20.0,-0.8,44.87,8.75,1200.0
411.0,3542.0,109.03,1449.0,2520.0,2340.0,142.0,2064.0,22.0,-0.16,44.55,8.75,1200.0
411.0,3544.0,109.09,1449.0,2519.0,2339.0,144.0,2073.0,20.0,-0.8,44.24,8.72,1200.0
403.0,3545.0,109.12,1450.0,2520.0,2338.0,139.0,2085.0,24.0,0.48,44.04,8.7,1200.0
410.0,3541.0,109.0,1449.0,2520.0,2340.0,149.0,2091.0,20.0,-0.8,43.74,8.82,1200.0
408.0,3542.0,109.03,1452.0,2522.0,2339.0,139.0,2103.0,23.0,0.16,43.48,8.72,1200.0
410.0,3545.0,109.12,1450.0,2519.0,2339.0,148.0,2114.0,24.0,0.48,43.09,8.75,1200.0
409.0,3542.0,109.03,1447.0,2519.0,2339.0,143.0,2122.0,24.0,0.48,42.85,8.84,1200.0
