a0,a1,vout,a2,a3,a4,a5,a6,a7,tempS,d
414.0,3542.0,109.03,1452.0,2520.0,2338.0,145.0,2901.0,25.0,0.8,20.31
420.0,3542.0,109.03,1453.0,2520.0,2339.0,147.0,2901.0,25.0,0.8,20.31
411.0,3542.0,109.03,1449.0,2519.0,2339.0,145.0,2899.0,21.0,-0.48,20.37
424.0,3539.0,108.94,1452.0,2519.0,2339.0,149.0,2901.0,25.0,0.8,20.4
425.0,3541.0,109.0,1450.0,2519.0,2339.0,146.0,2902.0,24.0,0.48,20.37
427.0,3543.0,109.06,1452.0,2518.0,2338.0,145.0,2903.0,28.0,1.76,20.4
428.0,3543.0,109.06,1453.0,2520.0,2339.0,151.0,2902.0,25.0,0.8,20.28
410.0,3540.0,108.97,1451.0,2522.0,2339.0,141.0,2900.0,25.0,0.8,20.4
406.0,3539.0,108.94,1450.0,2521.0,2340.0,151.0,2903.0,24.0,0.48,20.34
409.0,3540.0,108.97,1455.0,2521.0,2338.0,140.0,2901.0,26.0,1.12,20.31
419.0,3543.0,109.06,1455.0,2522.0,2339.0,136.0,2900.0,24.0,0.48,20.31
410.0,3541.0,109.0,1452.0,2521.0,2339.0,137.0,2899.0,26.0,1.12,20.34
426.0,3542.0,109.03,1449.0,2519.0,2340.0,151.0,2899.0,27.0,1.44,20.22
413.0,3542.0,109.03,1453.0,2522.0,2341.0,139.0,2902.0,23.0,0.16,20.31
392.0,3539.0,108.94,1448.0,2521.0,2341.0,145.0,2901.0,24.0,0.48,20.22
420.0,3541.0,109.0,1453.0,2521.0,2340.0,145.0,2899.0,28.0,1.76,20.31
425.0,3542.0,109.03,1452.0,2521.0,2340.0,144.0,2899.0,24.0,0.48,20.43
420.0,3543.0,109.06,1452.0,2520.0,2338.0,149.0,2899.0,27.0,1.44,20.37
393.0,3542.0,109.03,1452.0,2522.0,2340.0,145.0,2899.0,25.0,0.8,20.25
410.0,3540.0,108.97,1453.0,2521.0,2340.0,140.0,2899.0,24.0,0.48,20.37
418.0,3542.0,109.03,1453.0,2521.0,2339.0,132.0,2901.0,26.0,1.12,20.31
411.0,3544.0,109.09,1452.0,2519.0,2338.0,142.0,2902.0,26.0,1.12,20.34
414.0,3544.0,109.09,1453.0,2521.0,2339.0,145.0,2901.0,26.0,1.12,20.37
406.0,3541.0,109.0,1451.0,2523.0,2340.0,144.0,2901.0,24.0,0.48,20.34
404.0,3541.0,109.0,1451.0,2521.0,2339.0,147.0,2900.0,23.0,0.16,20.25
403.0,3539.0,108.94,1449.0,2522.0,2340.0,146.0,2901.0,26.0,1.12,20.31
431.0,3541.0,109.0,1452.0,2523.0,2339.0,137.0,2899.0,25.0,0.8,20.31
419.0,3541.0,109.0,1448.0,2518.0,2338.0,141.0,2902.0,29.0,2.09,20.37
410.0,3543.0,109.06,1450.0,2521.0,2339.0,145.0,2900.0,23.0,0.16,20.31
404.0,3541.0,109.0,1452.0,2521.0,2339.0,141.0,2900.0,26.0,1.12,20.4
407.0,3543.0,109.06,1452.0,2519.0,2340.0,147.0,2900.0,25.0,0.8,20.34
409.0,3541.0,109.0,1450.0,2519.0,2339.0,143.0,2901.0,25.0,0.8,20.28
417.0,3544.0,109.09,1454.0,2522.0,2339.0,135.0,2900.0,24.0,0.48,20.31
409.0,3543.0,109.06,1452.0,2520.0,2339.0,151.0,2901.0,25.0,0.8,20.31
415.0,3543.0,109.06,1451.0,2520.0,2339.0,141.0,2900.0,26.0,1.12,20.37
414.0,3541.0,109.0,1450.0,2520.0,2342.0,143.0,2901.0,25.0,0.8,20.25
400.0,3541.0,109.0,1450.0,2522.0,2341.0,148.0,2900.0,25.0,0.8,20.28
424.0,3543.0,109.06,1451.0,2520.0,2341.0,147.0,2902.0,23.0,0.16,20.31
427.0,3542.0,109.03,1451.0,2520.0,2340.0,139.0,2899.0,27.0,1.44,20.31
419.0,3545.0,109.12,1452.0,2520.0,2338.0,150.0,2902.0,26.0,1.12,20.28
416.0,3543.0,109.06,1451.0,2519.0,2339.0,141.0,2899.0,24.0,0.48,20.37
410.0,3543.0,109.06,1453.0,2521.0,2339.0,135.0,2901.0,25.0,0.8,20.43
415.0,3540.0,108.97,1449.0,2519.0,2339.0,141.0,2900.0,27.0,1.44,20.34
425.0,3539.0,108.94,1449.0,2520.0,2341.0,141.0,2900.0,23.0,0.16,20.37
413.0,3540.0,108.97,1452.0,2522.0,2340.0,139.0,2902.0,26.0,1.12,20.4
406.0,3541.0,109.0,1450.0,2520.0,2341.0,155.0,2901.0,25.0,0.8,20.4
418.0,3539.0,108.94,1452.0,2523.0,2341.0,147.0,2900.0,24.0,0.48,20.31
411.0,3541.0,109.0,1451.0,2521.0,2341.0,142.0,2902.0,20.0,-0.8,20.22
419.0,3540.0,108.97,1450.0,2522.0,2341.0,148.0,2901.0,26.0,1.12,20.37
422.0,3543.0,109.06,1452.0,2521.0,2340.0,146.0,2899.0,25.0,0.8,20.31
399.0,3540.0,108.97,1452.0,2519.0,2340.0,142.0,2901.0,25.0,0.8,20.28
430.0,3543.0,109.06,1452.0,2521.0,2340.0,137.0,2900.0,25.0,0.8,20.37
433.0,3543.0,109.06,1451.0,2519.0,2339.0,147.0,2903.0,25.0,0.8,20.28
411.0,3541.0,109.0,1453.0,2521.0,2339.0,136.0,2901.0,25.0,0.8,20.28
413.0,3540.0,108.97,1449.0,2522.0,2341.0,142.0,2901.0,26.0,1.12,20.4
432.0,3540.0,108.97,1449.0,2520.0,2339.0,148.0,2898.0,24.0,0.48,20.34
424.0,3543.0,109.06,1451.0,2519.0,2340.0,150.0,2899.0,24.0,0.48,20.4
412.0,3539.0,108.94,1449.0,2521.0,2341.0,145.0,2901.0,24.0,0.48,20.34
407.0,3541.0,109.0,1452.0,2522.0,2341.0,148.0,2899.0,23.0,0.16,20.4
405.0,3541.0,109.0,1450.0,2519.0,2341.0,155.0,2903.0,27.0,1.44,20.31
405.0,3545.0,109.12,1453.0,2520.0,2339.0,145.0,2900.0,28.0,1.76,20.34
412.0,3544.0,109.09,1454.0,2520.0,2339.0,140.0,2901.0,27.0,1.44,20.34
416.0,3542.0,109.03,1453.0,2521.0,2340.0,144.0,2900.0,26.0,1.12,20.31
411.0,3542.0,109.03,1454.0,2522.0,2341.0,136.0,2897.0,24.0,0.48,20.34
406.0,3543.0,109.06,1451.0,2520.0,2339.0,145.0,2900.0,25.0,0.8,20.34
419.0,3543.0,109.06,1450.0,2520.0,2340.0,150.0,2901.0,25.0,0.8,20.43
409.0,3543.0,109.06,1451.0,2519.0,2341.0,146.0,2902.0,23.0,0.16,20.34
418.0,3540.0,108.97,1454.0,2524.0,2341.0,140.0,2898.0,28.0,1.76,20.34
407.0,3546.0,109.15,1453.0,2517.0,2340.0,146.0,2901.0,24.0,0.48,20.31
423.0,3541.0,109.0,1450.0,2520.0,2341.0,147.0,2898.0,28.0,1.76,20.34
407.0,3542.0,109.03,1453.0,2521.0,2342.0,154.0,2899.0,23.0,0.16,20.34
414.0,3544.0,109.09,1453.0,2520.0,2339.0,138.0,2898.0,23.0,0.16,20.34
410.0,3543.0,109.06,1450.0,2519.0,2341.0,146.0,2902.0,24.0,0.48,20.34
427.0,3542.0,109.03,1451.0,2519.0,2340.0,152.0,2901.0,29.0,2.09,20.25
416.0,3543.0,109.06,1449.0,2520.0,2340.0,147.0,2899.0,22.0,-0.16,20.28
