Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet;Height;Manufacturer part code;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock;Value2;Description_1;Description;#;Sim.Device;Sim.Pins;Field6;Field7;Field10;Field5;Manufacturer_Name ;Mouser Part Number ;Manufacturer_Name  ;Mouser Part Number  ;Manufacturer_Part_Number ;SheetName;FirstOrderDone;Field11
IC12;1;AZ1117CH2-3.3TRG1;;;;SOT230P700X180-4N;https://www.diodes.com//assets/Datasheets/AZ1117C.pdf;1.8;;Diodes Incorporated;AZ1117CH2-3.3TRG1;621-AZ1117CH2-33TRG1;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1117CH2-3.3TRG1?qs=lQAVKuKFhkLc7jCxso2G3w%3D%3D;;;LDO Voltage Regulators LDO BJT HiCurr SOT223 T&R 4K;32;;;;;;;;;;;;;;
IC13;1;LM4040AIM3-2.0;;;;LM4040AIM3-10.0_NOPB:SOT95P237X112-3N;https://www.ti.com/lit/ds/symlink/lm4040c25-ep.pdf?ts=1759651217948&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM4040C25-EP%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-lp-null-44700045336317554_prodfolderdynamic-cpc-pf-google-eu_en_int%2526utm_content%253Dprodfolddynamic%2526ds_k%253DDYNAMIC+SEARCH+ADS%2526DCM%253Dyes%2526gclsrc%253Daw.ds%2526gad_source%253D1%2526gad_campaignid%253D8849308695;;;Texas Instruments;;;;;;PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE 2.5v;33;;;;;;;;;;;;;;
J1;1;Conn_02x03;;;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD;NA;;;;;;;;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;34;;;;;;;;;;;;;;
J2,J3,J4,J5,J8;5;jumper_02x03;;;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD;NA;;;;;;;;;Connector_PinHeader_2.54mm,PinHeader_2x03_P2.54mm_Vertical;35;;;;;;;;;;;;;;
J7;1;Conn_02x02_Odd_Even;;;;Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical_SMD;~;;;;;;;;;Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);36;;;;;;;;;;;;;;
L1,L3;2;PM5022-331M-RC;;;;PM5022-331M-RC:PM5022331MRC;https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA11/2187790.pdf;6.9;;Bourns;PM5022-331M-RC;542-PM5022-331M-RC;https://www.mouser.co.uk/ProductDetail/Bourns/PM5022-331M-RC?qs=zx6%2FfhZlzQrZDwlBjem2zw%3D%3D;;;330uH 20% 1A;37;;;;;;;;;;;;;;
L2;1;B66461G0000X187;;;;New_Linrary:ELP_43_10_28_v3;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_43_10_28.pdf?ref_disty=mouser;;;;;871-B66461G0000X187,871-B66461G0000X187;;;;ELP43/10/28 N87;38;;;;;;;;;EPCOS / TDK;;B66461G0000X187;;;
PS1;1;TNY280GN-TL;;;;TNY280GN-TL:TNY280GNTL;https://www.mouser.fr/datasheet/3/125/1/tinyswitch-iii_family_datasheet.pdf;3.98;;Power Integrations;TNY280GN-TL;869-TNY280GN-TL;https://www.mouser.co.uk/ProductDetail/Power-Integrations/TNY280GN-TL?qs=vF78I%252BjhbY8Q8Coo9C8agA%3D%3D;;;AC/DC Converters 28.5W 85-265 VAC 36.5W/230 VAC;39;;;;;;;;;;;;;;
Q1,Q2;2;IPW60R037CM8XKSA1;;;;New_Linrary:TO-247-3_Horizontal_TabDown_v2;https://www.mouser.fr/datasheet/3/70/1/Infineon-IPW60R037CM8-DataSheet-v02_01-EN.pdf;5.21;;Infineon;IPW60R037CM8XKSA1;726-IPW60R037CM8XKSA;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IPW60R037CM8XKSA1?qs=2wMNvWM5ZX6iR5SSpR9OjA%3D%3D;;;600 V 64A 37mOhm;40;;;;;;;;;;;;;yes;
Q3,Q4;2;FDH055N15A;;;;New_Linrary:TO-247-3_Horizontal_TabDown_v2;https://www.onsemi.com/pub/Collateral/FDH055N15A-D.PDF;4.82;;onsemi;FDH055N15A;512-FDH055N15A;https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D;;;150 V 167 A 4.8mOhm;41;;;;;;;;;;;;;yes;
Q5;1;DPC817S-B-TR;;;;DPC817S-B-TR:DPC817SBTR;https://www.diodes.com/assets/Datasheets/DPC817-Series.pdf;4.1;;Diodes Incorporated;DPC817S-B-TR;621-DPC817S-B-TR;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DPC817S-B-TR?qs=mELouGlnn3flLY5LctX6TA%3D%3D;;;Transistor Output Optocouplers Photo Coupler SL-4 T&R 2K;42;;;;;Transistor Optocouplers;;;;;;;;;
Q7;1;BCP5616H6327XTSA1;;;;BCP5616H6327XTSA1:SOT230P700X180-4N;https://www.mouser.fr/datasheet/2/196/Infineon_BCP54_BCP55_BCP56_DS_v01_01_en-1731078.pdf;1.8;;Infineon;BCP5616H6327XTSA1;726-BCP5616H6327X;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BCP5616H6327XTSA1?qs=3%2FhYFTG7CVfeTAfolSn5sQ%3D%3D;;;BJT NPN1A 80V .5W;43;;;;;;;;;;;;;;
R1,R16,R19,R31;4;KTR18EZPJ3R0;;;;Resistor_SMD:R_1206_3216Metric;https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf,https://www.rohm.com/datasheet?p=KTR18EZPJ&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser;;;;;755-KTR18EZPJ3R0;;;;3R 5% 1/4W 1206;44;;;;;;;;;ROHM Semiconductor;;KTR18EZPJ3R0;;;
R2,R4,R6,R9,R17,R28,R32,R35,R37,R38,R41,R43;12;RC1206FR-0711K5L;;;;Resistor_SMD:R_1206_3216Metric;www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf;;;;;603-RC1206FR-0711K5L;;;;11.5k 1% 1/4W 1206;45;;;;;;;;;YAGEO;;RC1206FR-0711K5L;;;
R3,R18;2;RNCE1206BTE10R0;;;;Resistor_SMD:R_1206_3216Metric;https://www.mouser.fr/datasheet/3/1099/1/SEI-RNCE.pdf;;;;;708-RNCE1206BTE10R0;;;;10R .1% 1/4W 1206;46;;;;;;;;;SEI Stackpole;;RNCE1206BTE10R0;;;
R5;1;9-2176070-5;;;;Resistor_SMD:R_2512_6332Metric;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2176070&DocType=Customer+Drawing&DocLang=English&PartCntxt=9-2176070-5&DocFormat=pdf;;;TE Connectivity / P&B;;9-2176070-5;;;;82K 2W 2512;47;;;;;;;;;;;571-9-2176070-5;;;
