Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
726-IPW65R050CFD7AXK,IPW65R050CFD7AXKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R050CFD7A_DataSheet_v02_02_EN-3362936.pdf,1 388  In Stock,"=""6,47 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R050CFD7AXKSA1?qs=OlC7AqGiEDm4ztoS376shw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R050CFD7AXKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""45 A""",50 mOhms,"- 20 V, + 20 V",4 V,102 nC,- 55 C,+ 150 C,227 W,Enhancement,AEC-Q101,CoolMOS,Tube
511-STW72N60DM2AG,STW72N60DM2AG,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw72n60dm2ag.pdf,468  In Stock,"=""6,55 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW72N60DM2AG?qs=XtgyILOJlWOtBr%2FwaXEHKQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW72N60DM2AG&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""66 A""",42 mOhms,"- 25 V, + 25 V",4 V,121 nC,- 55 C,+ 150 C,446 W,Enhancement,AEC-Q101,MDmesh,Tube
511-STW56N60M2,STW56N60M2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw56n60m2.pdf,1 198  In Stock,"=""6,56 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW56N60M2?qs=Ok1pvOkw6%2FqZkDV69VVXcg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW56N60M2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""52 A""",55 mOhms,"- 25 V, + 25 V",2 V,91 nC,- 55 C,+ 150 C,350 W,Enhancement,,MDmesh,Tube
726-IPW65R075CFD7AXK,IPW65R075CFD7AXKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R075CFD7A_DataSheet_v02_01_EN-3362950.pdf,1 486  In Stock,"=""6,61 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R075CFD7AXKSA1?qs=GedFDFLaBXGs9BBJPK2bwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R075CFD7AXKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""32 A""",75 mOhms,"- 20 V, + 20 V",4.5 V,68 nC,- 55 C,+ 150 C,171 W,Enhancement,AEC-Q101,CoolMOS,Tube
726-IPZ60R040C7XKSA1,IPZ60R040C7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZ60R040C7_DS_v02_00_EN-1307980.pdf,159  In Stock,"=""6,70 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZ60R040C7XKSA1?qs=CVaTMblcXgg0FHF5dfBIwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZ60R040C7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,600 V,"=""50 A""",40 mOhms,"- 20 V, + 20 V",3.5 V,107 nC,- 55 C,+ 150 C,227 W,Enhancement,,CoolMOS,Tube
726-IPW60R045P7XKSA1,IPW60R045P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R045P7_DS_v02_00_EN-1840571.pdf,529  In Stock,"=""6,71 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R045P7XKSA1?qs=qSfuJ%252Bfl%2Fd6%252B%252BwBcBf6DHg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R045P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""61 A""",45 mOhms,"- 20 V, + 20 V",3.5 V,90 nC,- 55 C,+ 150 C,201 W,Enhancement,,CoolMOS,Tube
78-SIHW47N60E-GE3,SIHW47N60E-GE3,Vishay / Siliconix,https://www.vishay.com/doc?91517,480  In Stock,"=""6,79 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Siliconix/SIHW47N60E-GE3?qs=wr42%252BD9aLHzFhGkVWV2OZw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHW47N60E-GE3&utm_content=Vishay-%2F-Siliconix,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""47 A""",65 mOhms,"- 30 V, + 30 V",4 V,152 nC,- 55 C,+ 150 C,379 W,Enhancement,,,Tube
511-STWA65N65DM2AG,STWA65N65DM2AG,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa65n65dm2ag.pdf,580  In Stock,"=""6,80 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA65N65DM2AG?qs=l7cgNqFNU1heSIxSO2gWvg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA65N65DM2AG&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""60 A""",50 mOhms,"- 25 V, + 25 V",3 V,120 nC,- 55 C,+ 150 C,446 W,Enhancement,AEC-Q101,MDmesh,Tube
726-IPW65R080CFDA,IPW65R080CFDA,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R080CFDA_DS_v02_01_en-1732054.pdf,535  In Stock,"=""6,82 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R080CFDA?qs=oPPfIaWL1l2KIMB3HUz7fQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R080CFDA&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""43.3 A""",72 mOhms,"- 20 V, + 20 V",3.5 V,161 nC,- 40 C,+ 150 C,391 W,Enhancement,AEC-Q100,CoolMOS,Tube
511-STW75N60DM6,STW75N60DM6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa75n60dm6.pdf,455  In Stock,"=""6,89 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW75N60DM6?qs=byeeYqUIh0Oyg4jkimtPng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW75N60DM6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""72 A""",36 mOhms,"- 25 V, + 25 V",3.25 V,117 nC,- 55 C,+ 150 C,446 W,Enhancement,,MDmesh,Tube
511-STW48NM60N,STW48NM60N,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw48nm60n.pdf,1 186  In Stock,"=""6,89 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW48NM60N?qs=AHLdMMsI%252Bhqj3Init1cTGQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW48NM60N&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""39 A""",70 mOhms,"- 25 V, + 25 V",2 V,124 nC,- 55 C,+ 150 C,255 W,Enhancement,,MDmesh,Tube
512-FCH47N60_F133,FCH47N60-F133,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH47N60-F133,413  In Stock,"=""6,90 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH47N60-F133?qs=0lQeLiL1qyYSap0Wl4sQZg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH47N60-F133&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""47 A""",70 mOhms,"- 30 V, + 30 V",3 V,270 nC,- 55 C,+ 150 C,417 W,Enhancement,,,Tube
511-STWA75N60M6,STWA75N60M6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa75n60m6.pdf,496  In Stock,"=""6,92 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA75N60M6?qs=%252BEew9%252B0nqrCXcHfSF9fhZA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA75N60M6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""72 A""",36 mOhms,"- 25 V, + 25 V",3.25 V,106 nC,- 55 C,+ 150 C,446 W,Enhancement,,MDmesh,Tube
726-IPZ65R065C7,IPZ65R065C7,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZ65R065C7_DS_v02_01_en-1227347.pdf,221  In Stock,"=""6,94 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZ65R065C7?qs=61g%252BPyeGH23natGjCM%2FcpQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZ65R065C7&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,650 V,"=""33 A""",58 mOhms,"- 20 V, + 20 V",3 V,64 nC,- 55 C,+ 150 C,171 W,Enhancement,,CoolMOS,Tube
726-IPW60R070C6,IPW60R070C6,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R070C6_DS_v02_01_en-1227241.pdf,1 227  In Stock,"=""6,95 €""",RoHS Compliant,NRND,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R070C6?qs=mzcOS1kGbgdf6PFkTkW01w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R070C6&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""53 A""",63 mOhms,"- 20 V, + 20 V",2.5 V,170 nC,- 55 C,+ 150 C,391 W,Enhancement,,CoolMOS,Tube
