Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Mouser Part Number;Description;Datasheet;Height;Manufacturer part code;Manufacturer_Name;Manufacturer_Part_Number;Mouser Price/Stock;Value2;Description_1;#;Sim.Device;Sim.Pins;Field6;Field7;Field10;Field5;Manufacturer_Name ;Mouser Part Number ;Manufacturer_Name  ;Mouser Part Number  ;Manufacturer_Part_Number 
IC5;1;SI8932B-IS;;;;SOIC127P600X175-8N;873-SI8932B-IS;Isolation Amplifiers Isolated voltage sensor with single ended input and single ended output. Narrow body S08.;https://www.skyworksinc.com/-/media/SkyWorks/SL/documents/public/data-sheets/si8931-32-datasheet.pdf;1.75;;Skyworks;SI8932B-IS;https://www.mouser.co.uk/ProductDetail/Skyworks-Solutions-Inc/SI8932B-IS?qs=yqaQSyyJnNgaRLq9HA2Jow%3D%3D;;;21;;;;;;;;;;;
IC6;1;SN74HC74DRG4;;;;SN74HC74DRG4:SOIC127P600X175-14N;595-SN74HC74DRG4;Dual D-Type Positive-Edge-Triggered Flip-Flops With Clear and Preset;http://www.ti.com/lit/gpn/SN74HC74;1.75;;Texas Instruments;SN74HC74DRG4;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HC74DRG4?qs=AgY10sKTvDJa4hSfohivVQ%3D%3D;;;22;;;;;595-SN74HC74DRG4;;;;;;
IC8;1;TMCS1107A1UQDRQ1;;;;TMCS1107A4UQDRQ1:SOIC127P600X175-8N;595-TMCS1107A1UQDRQ1;TMCS1107A1UQDRQ1;https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/tmcs1107-q1;1.75;;Texas Instruments;TMCS1107A4UQDRQ1;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TMCS1107A4UQDRQ1?qs=A6eO%252BMLsxmQ8Ln0%2FPMa5pg%3D%3D;;;23;;;;;;;;;;;
IC9;1;ACS70331EOLCTR-005U3;;;;ACS70331EOLCTR-005U3:SOIC127P600X175-8N;250-70331EOLCTR005U3;High Sensitivity, Gmr-Based Current Sensor IC;https://www.allegromicro.com/-/media/files/datasheets/acs70331-datasheet.ashx;1.75;;Allegro Microsystems;ACS70331EOLCTR-005U3;https://www.mouser.co.uk/ProductDetail/Allegro-MicroSystems/ACS70331EOLCTR-005U3?qs=pUKx8fyJudDz9FJ7uQ14Rw%3D%3D;;;24;;;;;;;;;;;
IC10;1;ISO7741BDWR;;;;ISO7741BDWR:SOIC127P1030X265-16N;595-ISO7741BDWR;Digital Isolators Robust EMC, quad-channel, 3/1, reinforced digital isolator 16-SOIC -55 to 125;https://www.ti.com/lit/gpn/ISO7741;2.65;;Texas Instruments;ISO7741BDWR;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/ISO7741BDWR?qs=OlC7AqGiEDldKlKXjTOIyw%3D%3D;;;25;;;;;;;;;;;
IC11;1;SI82390BD-IS;;;;SI82390BD-IS:SOIC127P1030X265-16N;634-SI82390BD-IS;Gate Drivers 5 kV 8 V UVLO dual isolated gate driver;;2.65;;Skyworks;SI82390BD-IS;https://www.mouser.co.uk/ProductDetail/Skyworks-Solutions-Inc/SI82390BD-IS?qs=6OIXIgk3fwek%2FlEM9Z8%2F2g%3D%3D;;;26;;;;;;;;;;;
IC12;1;AZ1117CH2-3.3TRG1;;;;SOT230P700X180-4N;621-AZ1117CH2-33TRG1;LDO Voltage Regulators LDO BJT HiCurr SOT223 T&R 4K;https://www.diodes.com//assets/Datasheets/AZ1117C.pdf;1.8;;Diodes Incorporated;AZ1117CH2-3.3TRG1;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1117CH2-3.3TRG1?qs=lQAVKuKFhkLc7jCxso2G3w%3D%3D;;;27;;;;;;;;;;;
J1;1;Conn_02x03;;;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;NA;;;;;;;;28;;;;;;;;;;;
J2,J3,J4,J5;4;jumper_02x03;;;;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;;Connector_PinHeader_2.54mm,PinHeader_2x03_P2.54mm_Vertical;NA;;;;;;;;29;;;;;;;;;;;
L1,L3;2;PM5022-331M-RC;;;;PM5022-331M-RC:PM5022331MRC;542-PM5022-331M-RC;330uH 20% 1A;https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA11/2187790.pdf;6.9;;Bourns;PM5022-331M-RC;https://www.mouser.co.uk/ProductDetail/Bourns/PM5022-331M-RC?qs=zx6%2FfhZlzQrZDwlBjem2zw%3D%3D;;;30;;;;;;;;;;;
L2;2;B66461G0000X187;;;;New_Linrary:ELP_43_10_28;871-B66461G0000X187;ELP43/10/28 N87;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_43_10_28.pdf?ref_disty=mouser;;;;;;;;31;;;;;;;;;EPCOS / TDK;;B66461G0000X187
PS1;1;TNY280GN-TL;;;;TNY280GN-TL:TNY280GNTL;869-TNY280GN-TL;AC/DC Converters 28.5W 85-265 VAC 36.5W/230 VAC;https://www.mouser.fr/datasheet/3/125/1/tinyswitch-iii_family_datasheet.pdf;3.98;;Power Integrations;TNY280GN-TL;https://www.mouser.co.uk/ProductDetail/Power-Integrations/TNY280GN-TL?qs=vF78I%252BjhbY8Q8Coo9C8agA%3D%3D;;;32;;;;;;;;;;;
Q1,Q2;2;IPW60R037CM8XKSA1;;;;Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown;726-IPW60R037CM8XKSA;600 V 64A 37mOhm;https://www.mouser.fr/datasheet/3/70/1/Infineon-IPW60R037CM8-DataSheet-v02_01-EN.pdf;5.21;;Infineon;IPW60R037CM8XKSA1;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IPW60R037CM8XKSA1?qs=2wMNvWM5ZX6iR5SSpR9OjA%3D%3D;;;33;;;;;;;;;;;
Q3,Q4;2;FDH055N15A;;;;Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown;512-FDH055N15A;150 V 167 A 4.8mOhm;https://www.onsemi.com/pub/Collateral/FDH055N15A-D.PDF;4.82;;onsemi;FDH055N15A;https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D;;;34;;;;;;;;;;;
Q5;1;DPC817S-B-TR;;;;DPC817S-B-TR:DPC817SBTR;621-DPC817S-B-TR;Transistor Output Optocouplers Photo Coupler SL-4 T&R 2K;https://www.diodes.com/assets/Datasheets/DPC817-Series.pdf;4.1;;Diodes Incorporated;DPC817S-B-TR;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DPC817S-B-TR?qs=mELouGlnn3flLY5LctX6TA%3D%3D;;;35;;;;;Transistor Optocouplers;;;;;;
Q7;1;BCP5616H6327XTSA1;;;;BCP5616H6327XTSA1:SOT230P700X180-4N;726-BCP5616H6327X;BJT NPN1A 80V .5W;https://www.mouser.fr/datasheet/2/196/Infineon_BCP54_BCP55_BCP56_DS_v01_01_en-1731078.pdf;1.8;;Infineon;BCP5616H6327XTSA1;https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BCP5616H6327XTSA1?qs=3%2FhYFTG7CVfeTAfolSn5sQ%3D%3D;;;36;;;;;;;;;;;
R1,R16,R19,R31;4;KTR18EZPJ3R0;;;;Resistor_SMD:R_1206_3216Metric;755-KTR18EZPJ3R0;3R 5% 1/4W 1206;https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr-e.pdf,https://www.rohm.com/datasheet?p=KTR18EZPJ&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser;;;;;;;;37;;;;;;;;;ROHM Semiconductor;;KTR18EZPJ3R0
R2,R6,R9,R17,R28,R32,R35,R37,R38,R43;10;RC1206FR-0711K5L;;;;Resistor_SMD:R_1206_3216Metric;603-RC1206FR-0711K5L;11.5k 1% 1/4W 1206;www.mouser.com/catalog/specsheets/YAGEO_PYu_RC_Group_51_RoHS_L_12.pdf;;;;;;;;38;;;;;;;;;YAGEO;;RC1206FR-0711K5L
R3,R18;2;RNCE1206BTE10R0;;;;Resistor_SMD:R_1206_3216Metric;708-RNCE1206BTE10R0;10R .1% 1/4W 1206;https://www.mouser.fr/datasheet/3/1099/1/SEI-RNCE.pdf;;;;;;;;39;;;;;;;;;SEI Stackpole;;RNCE1206BTE10R0
R5;1;9-2176070-5;;;;Resistor_SMD:R_2512_6332Metric;9-2176070-5;82K 2W 2512;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2176070&DocType=Customer+Drawing&DocLang=English&PartCntxt=9-2176070-5&DocFormat=pdf;;;TE Connectivity / P&B;;;;;40;;;;;;;;;;;571-9-2176070-5
R7,R8,R10,R20,R21,R22,R23,R25;8;RT1206BRD0756KL;;;;Resistor_SMD:R_1206_3216Metric;603-RT1206BRD0756KL;56K .1% 1/4W 25ppm;https://www.mouser.fr/datasheet/3/508/1/PYu-RT_1-to-0.01_RoHS_L_15.pdf;;;;RT1206BRD0756KL;;;;41;;;;;;;YAGEO;;;;
R11,R30;2;CRCW12060000Z0EAC;;;;Resistor_SMD:R_1206_3216Metric;71-CRCW12060000Z0EAC;0R 1/4W 1206;https://www.vishay.com/docs/28773/crcwce3.pdf;;;;;;;;42;;;;;;;;;Vishay;;CRCW12060000Z0EAC
R12,R14;2;SFR10EZPF2200;;;;Resistor_SMD:R_0805_2012Metric;755-SFR10EZPF2200;220R 150v 125mW 0805;https://www.rohm.com/datasheet?p=SFR10EZPF&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser;;;;SFR10EZPF2200;;;;43;;;;;;;ROHM Semiconductor;;;;
R13;1;CR1206-FX-1071ELF;;;;Resistor_SMD:R_1206_3216Metric;652-CR1206FX-1071ELF;1.07K 1% 1206 1/4 W;https://componentsearchengine.com/Datasheets/1/CR1206-FX-1071ELF.pdf;0.75;;Bourns;CR1206-FX-1071ELF;https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR1206FX-1071ELF;;;44;;;;;;;;;;;
R15,R29;2;M251206BB5108JP500;;;;Resistor_SMD:R_1206_3216Metric;71-M251206BB5108JP50;5R1 5% 1/4W 1206;https://www.vishay.com/doc?20031;;;;;;;;45;;;;;;;;;Vishay / Dale;;M251206BB5108JP500
R24;1;RNCE1206BTE1K00;;;;Resistor_SMD:R_1206_3216Metric;708-RNCE1206BTE1K00;1K .1% 1/4W 25ppm;https://www.mouser.fr/datasheet/3/1099/1/SEI-RNCE.pdf;;;;RNCE1206BTE1K00;;;;46;;;;;;;SEI Stackpole;;;;
R26;1;ERA-8AEB152V;;;;Resistor_SMD:R_1206_3216Metric;667-ERA-8AEB152V;1K5 .1% 1/4W 25ppm;https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf;;;;ERA-8AEB152V;;;;47;;;;;;;Panasonic;;;;
R27,R34;2;RN73R2BTTD4991B25;;;;RN73R2BTTD4991B25:RESC3216X70N;660-RN73R2BTD4991B25;4990R 0.1% 0.25W;https://www.koaspeer.com/pdfs/RN73R.pdf;0.7;;KOA Speer;RN73R2BTTD4991B25;https://www.mouser.co.uk/ProductDetail/KOA-Speer/RN73R2BTTD4991B25?qs=2WXlatMagcEhNVuIYxDXww%3D%3D;;;48;;;;;;;;;;;
R33,R36;2;RC1206JR-071R1L;;;;Resistor_SMD:R_1206_3216Metric;603-RC1206JR-071R1L;1R1 5% 1/4W 1206;https://www.mouser.fr/datasheet/3/508/1/PYu-RC_Group_51_RoHS_L_12.pdf;;;;;;;;49;;;;;;;;;YAGEO;;RC1206JR-071R1L
R39;1;LTR100JZPJ270;;;;LTR100JZPJ270:RESC3264X70N;755-LTR100JZPJ270;27R 5% 3W;https://fscdn.rohm.com/jp/products/databook/datasheet/passive/resistor/chip_resistor/ltr-j.pdf;0.7;;ROHM Semiconductor;LTR100JZPJ270;https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/LTR100JZPJ270?qs=rQFj71Wb1eXV0Qkg%2F%252B7akg%3D%3D;;;50;;;;;;;;;;;
RT1,RT2;2;TX08F103F3435ER;;;;Resistor_SMD:R_0805_2012Metric;588-TX08F103F3435ER;NTC 0805 10K 1%;https://www.ohmite.com/assets/docs/res_tx.pdf?r=false;0.65;;Ohmite;TX08F103F3435ER;https://www.mouser.co.uk/ProductDetail/Ohmite/TX08F103F3435ER?qs=vEM7xhTegWiti1BXKGM%252B2A%3D%3D;;;51;;;;;;;;;;;
RV1,RV2,RV3,RV4,RV5;5;100k;;;;New_Linrary:RV_precision;;Dual potentiometer, separate units;~;;;;;;;;52;;;;;;;;;;;
T1;1;B66285G0000X187;;;;New_Linrary:Trans_planner_buck;B66285G0000X187,B66285K0000X187;ELP 22/6/16 N87;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_22_6_16.pdf;;;;871-B66285G0000X187,871-B66285KX187;;;;53;;;;;;;EPCOS / TDK;;;;
T1;1;B66285K0000X187;;;;New_Linrary:Trans_planner_buck;B66285G0000X187,B66285K0000X187;I 22/2.5/16 N87;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_22_6_16.pdf;;;;871-B66285G0000X187,871-B66285KX187;;;;53;;;;;;;EPCOS / TDK;;;;
T3;1;B66297K0000X197;;;;New_Linrary:ELP_102_20_38;871-B66297KX197;ELP/102/20/38 N197;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_64_10_50.pdf;;;;;;;;54;;;;;;;;;EPCOS / TDK;;B66297K0000X197,B66297G0000X197
T3;1;B66297G0000X197;;;;New_Linrary:ELP_102_20_38;871-B66297GX197;I/102/38/20 N197;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_64_10_50.pdf;;;;;;;;54;;;;;;;;;EPCOS / TDK;;B66297K0000X197,B66297G0000X197
TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31;31;TestPoint;;;;TestPoint:TestPoint_Pad_D1.0mm;;test point;~;;;;;;;;55;;;;;;;;;;;
U1;1;stm32F103C8T6-CH340;;;;New_Linrary:SMT32F1-MINI;;stm32F103C8T6-CH340 PCB;;;;;;;;;56;;;;;;;;;;;
U9;1;TLV9024QDRQ1;;;;Package_SO:SOIC-14_3.9x8.7mm_P1.27mm;595-TLV9024QDRQ1;Quad channel comparators, SOIC-14;https://www.ti.com/lit/ds/symlink/tlv9022-q1.pdf;;;;;;;;57;;;;;;;Texas Instruments;;;; TLV9024QDRQ1
Z1;1;BZT52C11-7-F;;;;BZT52C11-7-F:SOD3716X145N;621-BZT52C11-F;Zener 11V 500 mW;https://www.diodes.com//assets/Datasheets/ds18004.pdf;1.45;;Diodes Incorporated;BZT52C11-7-F;https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BZT52C11-7-F?qs=NCeJV9s1cFlH%2FmA72UzX4g%3D%3D;;;58;;;;;;;;;;;
